Season,Position,Points,Wins,Constructor,Nationality
2015,1,703.0,16,Mercedes,German
2015,2,428.0,3,Ferrari,Italian
2015,3,257.0,0,Williams,British
2015,4,187.0,0,Red Bull,Austrian
2015,5,136.0,0,Force India,Indian
2015,6,78.0,0,Lotus F1,British
2015,7,67.0,0,Toro Rosso,Italian
2015,8,36.0,0,Sauber,Swiss
2015,9,27.0,0,McLaren,British
2015,10,0.0,0,Manor Marussia,British
2016,1,765.0,19,Mercedes,German
2016,2,468.0,2,Red Bull,Austrian
2016,3,398.0,0,Ferrari,Italian
2016,4,173.0,0,Force India,Indian
2016,5,138.0,0,Williams,British
2016,6,76.0,0,McLaren,British
2016,7,63.0,0,Toro Rosso,Italian
2016,8,29.0,0,Haas F1 Team,American
2016,9,8.0,0,Renault,French
2016,10,2.0,0,Sauber,Swiss
2016,11,1.0,0,Manor Marussia,British
2017,1,668.0,12,Mercedes,German
2017,2,522.0,5,Ferrari,Italian
2017,3,368.0,3,Red Bull,Austrian
2017,4,187.0,0,Force India,Indian
2017,5,83.0,0,Williams,British
2017,6,57.0,0,Renault,French
2017,7,53.0,0,Toro Rosso,Italian
2017,8,47.0,0,Haas F1 Team,American
2017,9,30.0,0,McLaren,British
2017,10,5.0,0,Sauber,Swiss
2018,1,655.0,11,Mercedes,German
2018,2,571.0,6,Ferrari,Italian
2018,3,419.0,4,Red Bull,Austrian
2018,4,122.0,0,Renault,French
2018,5,111.0,0,Force India,Indian
2018,6,93.0,0,Haas F1 Team,American
2018,7,62.0,0,McLaren,British
2018,8,48.0,0,Sauber,Swiss
2018,9,33.0,0,Toro Rosso,Italian
2018,10,7.0,0,Williams,British
2019,1,739.0,15,Mercedes,German
2019,2,504.0,3,Ferrari,Italian
2019,3,417.0,3,Red Bull,Austrian
2019,4,145.0,0,McLaren,British
2019,5,91.0,0,Renault,French
2019,6,85.0,0,Toro Rosso,Italian
2019,7,73.0,0,Racing Point,British
2019,8,57.0,0,Alfa Romeo,Swiss
2019,9,28.0,0,Haas F1 Team,American
2019,10,1.0,0,Williams,British
2020,1,573.0,13,Mercedes,German
2020,2,319.0,2,Red Bull,Austrian
2020,3,202.0,0,McLaren,British
2020,4,195.0,1,Racing Point,British
2020,5,181.0,0,Renault,French
2020,6,131.0,0,Ferrari,Italian
2020,7,107.0,1,AlphaTauri,Italian
2020,8,8.0,0,Alfa Romeo,Swiss
2020,9,3.0,0,Haas F1 Team,American
2020,10,0.0,0,Williams,British
2021,1,613.5,9,Mercedes,German
2021,2,585.5,11,Red Bull,Austrian
2021,3,323.5,0,Ferrari,Italian
2021,4,275.0,1,McLaren,British
2021,5,155.0,1,Alpine F1 Team,French
2021,6,142.0,0,AlphaTauri,Italian
2021,7,77.0,0,Aston Martin,British
2021,8,23.0,0,Williams,British
2021,9,13.0,0,Alfa Romeo,Swiss
2021,10,0.0,0,Haas F1 Team,American
2022,1,759.0,17,Red Bull,Austrian
2022,2,554.0,4,Ferrari,Italian
2022,3,515.0,1,Mercedes,German
2022,4,173.0,0,Alpine F1 Team,French
2022,5,159.0,0,McLaren,British
2022,6,55.0,0,Alfa Romeo,Swiss
2022,7,55.0,0,Aston Martin,British
2022,8,37.0,0,Haas F1 Team,American
2022,9,35.0,0,AlphaTauri,Italian
2022,10,8.0,0,Williams,British
2023,1,860.0,21,Red Bull,Austrian
2023,2,409.0,0,Mercedes,German
2023,3,406.0,1,Ferrari,Italian
2023,4,302.0,0,McLaren,British
2023,5,280.0,0,Aston Martin,British
2023,6,120.0,0,Alpine F1 Team,French
2023,7,28.0,0,Williams,British
2023,8,25.0,0,AlphaTauri,Italian
2023,9,16.0,0,Alfa Romeo,Swiss
2023,10,12.0,0,Haas F1 Team,American
2024,1,666.0,6,McLaren,British
2024,2,652.0,5,Ferrari,Italian
2024,3,589.0,9,Red Bull,Austrian
2024,4,468.0,4,Mercedes,German
2024,5,94.0,0,Aston Martin,British
2024,6,65.0,0,Alpine F1 Team,French
2024,7,58.0,0,Haas F1 Team,American
2024,8,46.0,0,RB F1 Team,Italian
2024,9,17.0,0,Williams,British
2024,10,4.0,0,Sauber,Swiss
