driverId,permanentNumber,code,givenName,familyName,dateOfBirth,nationality,Year,Driver
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,2015,Fernando Alonso
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,2015,Valtteri Bottas
button,22,BUT,Jenson,Button,1980-01-19,British,2015,Jenson Button
ericsson,9,ERI,Marcus,Ericsson,1990-09-02,Swedish,2015,Marcus Ericsson
grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,2015,Romain Grosjean
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,2015,Lewis Hamilton
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,2015,Nico Hülkenberg
kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,2015,Daniil Kvyat
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,2015,Kevin Magnussen
maldonado,13,MAL,Pastor,Maldonado,1985-03-09,Venezuelan,2015,Pastor Maldonado
massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,2015,Felipe Massa
merhi,98,MER,Roberto,Merhi,1991-03-22,Spanish,2015,Roberto Merhi
nasr,12,NAS,Felipe,Nasr,1992-08-21,Brazilian,2015,Felipe Nasr
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,2015,Sergio Pérez
raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,2015,Kimi Räikkönen
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,2015,Daniel Ricciardo
rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,2015,Nico Rosberg
rossi,53,RSS,Alexander,Rossi,1991-09-25,American,2015,Alexander Rossi
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,2015,Carlos Sainz
stevens,28,STE,Will,Stevens,1991-06-28,British,2015,Will Stevens
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,2015,Max Verstappen
vettel,5,VET,Sebastian,Vettel,1987-07-03,German,2015,Sebastian Vettel
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,2016,Fernando Alonso
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,2016,Valtteri Bottas
button,22,BUT,Jenson,Button,1980-01-19,British,2016,Jenson Button
ericsson,9,ERI,Marcus,Ericsson,1990-09-02,Swedish,2016,Marcus Ericsson
grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,2016,Romain Grosjean
gutierrez,21,GUT,Esteban,Gutiérrez,1991-08-05,Mexican,2016,Esteban Gutiérrez
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,2016,Lewis Hamilton
haryanto,88,HAR,Rio,Haryanto,1993-01-22,Indonesian,2016,Rio Haryanto
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,2016,Nico Hülkenberg
kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,2016,Daniil Kvyat
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,2016,Kevin Magnussen
massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,2016,Felipe Massa
nasr,12,NAS,Felipe,Nasr,1992-08-21,Brazilian,2016,Felipe Nasr
ocon,31,OCO,Esteban,Ocon,1996-09-17,French,2016,Esteban Ocon
jolyon_palmer,30,PAL,Jolyon,Palmer,1991-01-20,British,2016,Jolyon Palmer
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,2016,Sergio Pérez
raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,2016,Kimi Räikkönen
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,2016,Daniel Ricciardo
rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,2016,Nico Rosberg
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,2016,Carlos Sainz
vandoorne,2,VAN,Stoffel,Vandoorne,1992-03-26,Belgian,2016,Stoffel Vandoorne
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,2016,Max Verstappen
vettel,5,VET,Sebastian,Vettel,1987-07-03,German,2016,Sebastian Vettel
wehrlein,94,WEH,Pascal,Wehrlein,1994-10-18,German,2016,Pascal Wehrlein
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,2017,Fernando Alonso
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,2017,Valtteri Bottas
button,22,BUT,Jenson,Button,1980-01-19,British,2017,Jenson Button
resta,40,DIR,Paul,di Resta,1986-04-16,British,2017,Paul di Resta
ericsson,9,ERI,Marcus,Ericsson,1990-09-02,Swedish,2017,Marcus Ericsson
gasly,10,GAS,Pierre,Gasly,1996-02-07,French,2017,Pierre Gasly
giovinazzi,99,GIO,Antonio,Giovinazzi,1993-12-14,Italian,2017,Antonio Giovinazzi
grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,2017,Romain Grosjean
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,2017,Lewis Hamilton
brendon_hartley,28,HAR,Brendon,Hartley,1989-11-10,New Zealander,2017,Brendon Hartley
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,2017,Nico Hülkenberg
kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,2017,Daniil Kvyat
