Season,Round,Race,Date,Circuit,Country,DriverId,Lap,Stop Number,Time of Day,Duration
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,ericsson,1,1,16:05:59,22.681
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,raikkonen,16,1,16:31:07,27.465
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,massa,21,1,16:38:38,22.062
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,hulkenberg,21,1,16:39:11,22.137
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,ricciardo,23,1,16:42:09,22.535
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,vettel,24,1,16:43:16,22.694
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,sainz,24,1,16:43:48,55.789
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,hamilton,25,1,16:44:32,22.295
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,nasr,25,1,16:45:12,22.933
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,rosberg,26,1,16:46:11,22.105
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,ericsson,26,2,16:47:15,23.254
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,button,27,1,16:49:15,23.353
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,max_verstappen,32,1,16:56:30,23.532
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,perez,38,1,17:06:52,26.009
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,raikkonen,40,2,17:08:30,22.405
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,ericsson,43,3,17:14:28,22.353
2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,Australia,hulkenberg,44,2,17:15:43,21.612
